LAB_ID,NAME,type,DATE/TIME,PH,SPCOND,CL,SO4,CA,K,MG,NA,AL,FE,MN,SI,SR,NH4,NO3,SRP,TN_,TP_,NPOC,TC-IC,DOC,UVA254,UVA360,UVA360F,BDOC,BR,THGF,MEHGF,O-18,D,FE2,FE3,RunoffVolume_L,TEMPC
218006,S6S SURF,SURF,2/12/2009 9:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
218011,S6N SURF,SURF,3/6/2009 10:00,5.53,95.5,1.96,9.99,5.46,9.65,1.18,0.56,0.06,0.11,0.18,0.97,0.02,,,0.53,4.93,0.54,,22.63,,,,,,,,,,,,,5,2
218012,S6N SURF,SURF,3/9/2009 8:45,5.13,57.8,0.94,2.7,2.69,6.98,0.56,0.34,0.02,0.04,0.02,0.71,0.01,,,0.39,1.89,0.4,,12.84,,,,,,,,,,,,,25,10
218013,S6N SURF,SURF,3/16/2009 13:00,5.22,19.9,0.41,0.78,0.75,4.29,0.24,0.14,0.01,0.01,0,0.46,0,,,0.12,0.31,0.14,,6.75,,,,,,,,,,,,,125,7
218014,S2N SURF,SURF,3/17/2009 9:35,5.37,33.8,0.32,0.85,2.79,4.51,0.78,0.23,0.01,0.02,0,0.72,0.01,,,0.27,0.27,0.29,,8.14,,,,,,,,,,,,,35,8
347004,S2N SUB,SUB,3/17/2009 14:25,5.19,29.2,0.25,3.43,2.96,0.78,1.11,0.33,0.85,0.42,0,0.96,0.01,,,0.02,0.26,0.06,,17.55,,,,,,,,,,,,,234,11.5
218018,S2N SUB,SUB,3/18/2009 11:35,5.21,26.4,0.4,3.05,2.75,0.4,1.07,1.22,0.78,0.37,0,4.6,0.01,,,0.01,0.22,0.05,,14.46,,,,,,,,,,,,,475,3
218019,S2N SURF,SURF,3/18/2009 11:45,5.36,32.9,0.34,0.65,2.78,4.31,0.79,0.19,0.02,0.02,0,0.88,0.01,,,0.24,0.22,0.24,,9.6,,,,,,,,,,,,,30,7
218020,S6S SURF,SURF,3/18/2009 12:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8
218021,S6N SURF,SURF,3/18/2009 12:45,5.24,43.4,0.79,3.62,2.29,6.9,0.55,0.25,0.08,0.08,0,1.95,0.01,,,0.17,0.79,0.25,,20.15,,,,,,,,,,,,,65,13
218023,S2N SUB,SUB,3/19/2009 14:15,5.33,34.4,0.43,4.34,3.5,0.54,1.36,1.65,0.95,0.47,0,6.37,0.01,,,0.01,0.24,0.05,,18.32,,,,,,,,,,,,,55,2
347010,S2S SUB,SUB,3/23/2009 7:21,4.99,37.3,0.69,4.22,4.27,0.65,1.28,0.27,0.48,0.11,0,0.38,0.02,,,0.01,0.73,0,,26.64,,,,,,,,,-14.25,-99.15,,,,
