,YEAR,WTE,Peak,Trough,LengthClimb,HeightClimb,PeakWTE,TroughWTE,WYEAR,wintStart,dWTEWint
0,1995,421.967287671233,162,156,6,0.18999999999999773,422.05,421.86,1995,421.96,0.0999999999999659
1,1996,421.97166666666715,206,177,29,0.19999999999998863,422.13,421.93,1996,421.97,0.040000000000020464
2,1997,421.9777534246573,186,161,25,0.25,422.18,421.93,1997,421.96,0.029999999999972715
3,1998,421.95756164383596,148,130,18,0.1400000000000432,422.04,421.9,1998,421.97,0.07000000000005002
4,1999,421.9635068493156,187,159,28,0.19999999999998863,422.08,421.88,1999,421.93,0.05000000000001137
5,2000,421.93904371584694,146,140,6,0.2699999999999818,422.01,421.74,2000,421.93,0.18999999999999773
6,2001,421.92060273972663,192,155,37,0.3499999999999659,422.15,421.8,2001,421.96,0.15999999999996817
7,2002,421.92194520547974,191,176,15,0.3199999999999932,422.02,421.7,2002,421.9,0.19999999999998863
8,2003,421.8956438356157,199,160,39,0.4600000000000364,422.04,421.58,2003,421.91,0.3300000000000409
9,2004,421.93002732240495,187,142,45,0.23999999999995225,422.03,421.79,2004,421.94,0.14999999999997726
10,2005,421.91383561643863,185,172,13,0.2300000000000182,422.11,421.88,2005,421.93,0.05000000000001137
11,2006,421.81895890410885,186,153,33,0.2699999999999818,422.07,421.8,2006,421.77,-0.03000000000002956
12,2007,421.80227397260177,181,140,41,0.6599999999999682,422.08,421.42,2007,421.84,0.4199999999999591
13,2008,421.8297540983601,202,175,27,0.45999999999997954,422.09,421.63,2008,421.82,0.18999999999999773
14,2009,421.8538904109595,174,158,16,0.37000000000000455,422.07,421.7,2009,421.85,0.1500000000000341
15,2010,421.88923287671315,167,154,13,0.3299999999999841,421.95,421.62,2010,421.9,0.2799999999999727
16,2011,421.90093150684964,190,160,30,0.2599999999999909,422.08,421.82,2011,421.84,0.01999999999998181
17,2012,421.82174863387934,199,142,57,0.39999999999997726,422.02,421.62,2012,421.84,0.21999999999997044
18,2013,421.83663013698583,210,171,39,0.5099999999999909,422.15,421.64,2013,421.84,0.19999999999998863
19,2014,421.85243835616325,192,172,20,0.4200000000000159,422.04,421.62,2014,421.82,0.19999999999998863
20,2015,421.8498356164385,199,158,41,0.4800000000000182,421.99,421.51,2015,421.94,0.4300000000000068
21,2016,421.921284153005,166,151,15,0.22000000000002728,422.04,421.82,2016,421.93,0.11000000000001364
22,2017,421.92994520547944,180,131,49,0.1500000000000341,422.05,421.9,2017,421.91,0.010000000000047748
23,2018,421.86115068493115,203,165,38,0.3900000000000432,422.1,421.71,2018,421.86,0.1500000000000341
24,2019,421.8819780219783,200,160,40,0.36000000000001364,422.06,421.7,2019,421.89,0.18999999999999773
25,2020,421.9062247838614,176,153,23,0.18999999999999773,422.02,421.83,2020,421.89,0.060000000000002274
