,WYEAR,SnowDepth,DOA,DOD,Peak,SeasonLength,AccLength,MeltLength,PeakSnowDepth,MEF_PeakSnowDepth,MEF_Peak
0,1995,6.66616033755274,2.0,73.0,45,71,43,28,48.26,47.7,138
1,1996,17.486600660066006,31.0,200.0,150,169,119,50,88.9,87.03333333333333,150
2,1997,21.693976608187107,45.0,191.0,165,146,120,26,81.28,78.66666666666667,164
3,1998,5.4606340057636915,31.0,145.0,117,114,86,28,30.48,15.066666666666666,140
4,1999,7.045307262569835,40.0,174.0,126,134,86,48,35.56,37.5,161
5,2000,2.3969014084507037,71.0,147.0,139,76,68,8,22.86,21.466666666666665,143
6,2001,14.253798882681568,42.0,191.0,147,149,105,44,76.2,63.2,150
7,2002,4.567731092436975,55.0,188.0,159,133,104,29,35.56,23.733333333333334,165
8,2003,4.39312676056338,42.0,164.0,157,122,115,7,22.86,19.666666666666668,156
9,2004,10.159999999999995,26.0,180.0,158,154,132,22,35.56,40.03333333333333,141
10,2005,11.613444444444434,56.0,179.0,113,123,57,66,60.96,50.233333333333334,153
11,2006,8.496821917808218,58.0,178.0,155,120,97,23,53.34,43.93333333333333,159
12,2007,3.2690740740740765,62.0,171.0,152,109,90,19,43.18,25.033333333333335,150
13,2008,11.19051428571428,56.0,197.0,140,141,84,57,43.18,33.96666666666667,142
14,2009,11.23108433734939,60.0,185.0,110,125,50,75,48.26,36.9,154
15,2010,6.801792717086831,64.0,160.0,140,96,76,20,35.56,27.866666666666667,140
16,2011,12.578022598870053,43.0,178.0,122,135,79,56,50.8,49.36666666666667,157
17,2012,3.1440243902439047,45.0,163.0,148,118,103,15,35.56,31.6,151
18,2013,12.153687150837992,52.0,207.0,168,155,116,39,66.04,65.73333333333333,200
19,2014,16.29228571428572,57.0,189.0,154,132,97,35,68.58,61.36666666666667,149
20,2015,4.3623268698060995,38.0,161.0,142,123,104,19,27.94,25.1,148
21,2016,5.936511627906979,76.0,160.0,121,84,45,39,30.48,31.733333333333334,146
22,2017,7.117822349570193,48.0,168.0,129,120,81,39,40.64,41.46666666666667,137
23,2018,10.102760563380286,25.0,198.0,130,173,105,68,33.02,50.833333333333336,150
24,2019,13.427713498622593,36.0,183.0,160,147,124,23,71.12,64.1,143
25,2020,10.040470588235294,51.0,91.0,73,40,22,18,33.02,33.02,73
